,word,time
681,anything,121
682,fashion,30
683,moving,44
684,closer,18
685,context,27
686,1970s,5
687,indeed,27
688,seem,110
689,Now,98
690,grope,2
691,towards,85
692,satisfies,1
693,yet,117
694,manages,2
695,sufficiently,6
696,modern,55
697,front,106
698,again,189
699,welcome,12
700,pile,18
701,recordings,3
702,issued,7
703,recently,32
704,symphonies,1
705,concertos,1
706,well,531
707,Two,52
708,them,880
709,mark,26
710,start,92
711,international,49
712,recording,10
713,careers,3
714,extraordinary,27
715,young,157
716,pianists,1
717,children,156
718,aged,15
719,18,32
720,came,162
721,prominence,4
722,couple,59
723,ago,113
724,appeared,23
725,acclaim,1
726,Berlin,4
727,Festival,28
728,First,29
729,sparklingly,1
730,assured,5
731,crisply,1
732,articulated,1
733,sensitivity,2
734,convey,3
735,inevitable,19
736,character,31
737,slow,21
738,movement,26
739,This,497
740,anyway,67
741,stunning,6
742,disc,6
743,thanks,19
744,playing,48
745,Their,50
746,performances,8
747,orchestral,1
748,arrangements,18
749,arranged,17
750,Rudolph,5
751,Barshai,1
752,Eighth,1
753,Quartet,12
754,Opus,1
755,Poltoratsky,1
756,original,61
757,superbly,1
758,polished,8
759,24,17
760,also,447
761,impressive,10
762,discovery,7
763,Her,41
764,record,96
765,shows,49
766,her,743
767,she,800
768,technically,3
769,accomplished,1
770,pithy,1
771,violence,90
772,come,376
773,naturally,16
774,limpid,1
775,impressionism,1
776,G,16
777,major,103
778,Prelude,1
779,having,156
780,lyrical,3
781,passionate,1
782,aspects,24
783,bitterly,4
784,satirical,2
785,bring,65
786,best,110
787,Julian,2
788,Lloyd,6
789,Webber,1
790,elegiac,1
791,tempo,2
792,largo,1
793,Cello,1
794,allows,18
795,him,737
796,sustained,4
797,outpouring,1
798,feeling,49
799,McCabe,3
800,accompanying,4
801,too,333
802,wonderfully,5
803,supportive,1
804,imaginatively,2
805,coupled,2
806,written,34
807,meeting,42
808,1961,4
809,usual,25
810,characters,7
811,two,580
812,reversed,8
813,English,49
814,stands,23
815,nervous,14
816,angry,3
817,amiable,1
818,men,119
819,sense,75
820,unease,2
821,respond,7
822,deftly,1
823,Itzhak,1
824,Perlman,1
825,account,51
826,Violin,1
827,more,959
828,affair,13
829,usually,86
830,slickest,1
831,violinists,1
832,cultivate,1
833,rasping,1
834,sound,37
835,emphasises,1
836,macabre,3
837,portrait,5
838,Stalin,2
839,Russia,24
840,along,88
841,concerto,2
842,teacher,17
843,Glazunov,2
844,recorded,48
845,live,87
846,Tel,1
847,Aviv,3
848,July,15
849,1988,21
850,spate,1
851,clapping,3
852,end,190
853,acoustic,2
854,captured,2
855,engineers,4
856,reasonably,19
857,spacious,1
858,reservations,1
859,Mehta,1
860,neither,22
861,richly,1
862,romantic,9
863,Oscar,2
864,Shumsky,1
865,Chandos,1
866,nor,43
867,glittering,1
868,Mutter,1
869,Erato,1
870,versions,2
871,appear,44
872,year,332
873,silkiest,1
874,elegant,8
875,bonhomie,1
876,mixed,13
877,hint,4
878,gentle,13
879,sadness,1
880,eludes,1
881,Israel,1
882,PO,2
883,soloist,2
884,intent,8
885,squeezing,2
886,each,137
887,drip,3
888,sentiment,1
889,surely,29
890,misunderstanding,5
891,aspirations,3
892,Enlightened,2
893,views,12
894,OAE,1
895,Mackerras,3
896,Queen,14
897,Elizabeth,4
898,Hall,108
899,TESS,1
900,KNIGHTON,1
901,autumn,9
902,coming,90
903,up,974
904,Haydn,1
905,Esterhaza,1
906,concerts,3
907,Wigmore,1
908,Magyarok,1
909,Britain,130
910,Salutes,1
911,Hungary,2
912,already,136
913,display,17
914,England,153
915,exhibition,10
916,British,122
917,Library,2
918,started,54
919,Orchestra,2
920,Age,5
921,Enlightenment,5
922,QEH,2
923,series,35
924,concentrating,8
925,choral,3
926,opening,32
927,concert,4
928,performance,41
929,Creation,1
930,conducted,6
931,Sir,59
932,Charles,12
933,sets,29
934,high,134
935,standard,22
936,remaining,21
937,seven,53
938,ingredients,1
939,right,345
940,highly,40
941,intelligent,6
942,soloists,2
943,Lynne,1
944,Dawson,3
945,Anthony,11
946,Rolfe,1
947,Johnson,12
948,David,53
949,small,187
950,alert,9
951,choir,2
952,excellently,1
953,trained,12
954,Clarkson,1
955,orchestra,1
956,conductor,1
957,afraid,18
958,cherish,2
959,aspect,20
960,score,27
961,order,125
962,compassionate,3
963,redblooded,1
964,direct,41
965,full,95
966,charm,6
967,radically,1
968,different,239
969,colourful,2
970,scoring,5
971,enhanced,3
972,use,168
973,period,80
974,instruments,4
975,including,75
976,fortepiano,1
977,recitatives,1
978,bass,1
979,line,55
980,reinforced,3
981,consistently,13
982,trombone,1
983,contra,3
984,bassoon,4
985,succeeded,6
986,unforced,1
987,unfettered,2
988,He,973
989,made,328
990,superb,3
991,wind,17
992,section,100
993,clarity,3
994,strings,1
995,underline,4
996,richness,1
997,harmony,7
998,encouraged,9
999,brass,10
1000,cut,89
1001,texture,4
1002,pin,6
1003,down,408
1004,rhythm,3
1005,example,156
1006,exhilarating,2
1007,chorus,1
1008,Achieved,1
1009,Glorious,1
1010,Work,9
1011,Vienna,1
1012,1790s,1
1013,entranced,1
1014,depictions,1
1015,living,203
1016,creature,10
1017,mighty,1
1018,eagle,1
1019,lowly,3
1020,worm,4
1021,Only,27
1022,short,59
1023,while,211
1024,later,112
1025,accused,27
1026,Schiller,1
1027,amongst,6
1028,others,126
1029,worthy,2
